Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,149000.0,149000.0,137500.0,137500.0,104316.375,2331421
2016-01-07,134500.0,143500.0,133500.0,141000.0,106971.6953125,2821121
2016-01-14,141000.0,142000.0,135500.0,137000.0,103937.03125,2302378
2016-01-21,138000.0,140500.0,134500.0,135000.0,102419.7109375,2843030
2016-01-28,135000.0,136000.0,126500.0,132500.0,100523.0390625,3524339
2016-02-04,132000.0,133500.0,130500.0,131000.0,99385.046875,1202023
2016-02-11,131500.0,149000.0,131000.0,147000.0,111523.6875,3910675
2016-02-18,147000.0,153000.0,145500.0,147000.0,111523.6875,1682840
2016-02-25,148000.0,151500.0,144500.0,147500.0,111903.015625,2089156
2016-03-03,146000.0,150000.0,143500.0,148000.0,112282.3359375,2523241
2016-03-10,147500.0,150500.0,145500.0,146500.0,111144.3359375,1777843
2016-03-17,148000.0,159500.0,147500.0,155500.0,117972.328125,3188109
2016-03-24,154500.0,159000.0,151500.0,152500.0,115696.328125,1644587
2016-03-31,152500.0,152500.0,143500.0,146500.0,111144.3359375,2410682
2016-04-07,146000.0,152000.0,144000.0,152000.0,115317.0078125,1395033
2016-04-14,150500.0,155000.0,149000.0,154000.0,116834.3359375,1582344
2016-04-21,152000.0,154000.0,147000.0,148000.0,112282.3359375,1798802
2016-04-28,146500.0,147500.0,138500.0,139000.0,105454.3515625,2147642
2016-05-05,139000.0,142000.0,135500.0,136500.0,103557.6953125,1534696
2016-05-12,136000.0,137500.0,132000.0,134500.0,102040.3828125,2262103
2016-05-19,134000.0,137000.0,131500.0,135000.0,102419.7109375,1971178
2016-05-26,136000.0,139500.0,135000.0,138000.0,104695.7109375,3482094
2016-06-02,138000.0,141500.0,137500.0,139000.0,105454.3515625,2138063
2016-06-09,138500.0,140000.0,133500.0,134500.0,102040.3828125,2067391
2016-06-16,136000.0,141500.0,133500.0,141000.0,106971.6953125,1675108
2016-06-23,140500.0,144000.0,134500.0,135500.0,102799.046875,5640150
2016-06-30,136500.0,139500.0,129000.0,131000.0,100105.21875,2746300
2016-07-07,131000.0,135500.0,129000.0,131500.0,100487.296875,2524826
2016-07-14,132000.0,134000.0,128500.0,130000.0,99341.0625,2629825
2016-07-21,130000.0,139500.0,129000.0,136000.0,103926.0546875,3574789
2016-07-28,135000.0,136000.0,129500.0,130500.0,99723.1484375,2538580
2016-08-04,130500.0,137000.0,130500.0,134500.0,102779.796875,2226054
2016-08-11,135000.0,137000.0,132000.0,132500.0,101251.4765625,1963666
2016-08-18,133000.0,138000.0,131000.0,136500.0,104308.1328125,2802785
2016-08-25,136500.0,137000.0,131000.0,131500.0,100487.296875,2280273
2016-09-01,132500.0,140500.0,132000.0,139000.0,106218.53125,3386822
2016-09-08,138000.0,140500.0,137500.0,138500.0,105836.453125,1439182
2016-09-15,138500.0,139500.0,136000.0,138000.0,105454.3515625,1878875
2016-09-22,139500.0,142000.0,138000.0,139500.0,106600.609375,2479503
2016-09-29,138500.0,141000.0,135000.0,139000.0,106218.53125,2146708
2016-10-06,138500.0,139000.0,131000.0,134000.0,102397.7109375,2354989
2016-10-13,133500.0,136500.0,131500.0,132000.0,100869.3984375,2181621
2016-10-20,132500.0,139500.0,132000.0,138000.0,105454.3515625,2550904
2016-10-27,138000.0,141500.0,136000.0,136500.0,104308.1328125,2717113
2016-11-03,136500.0,140000.0,129000.0,129000.0,98576.9140625,3383463
2016-11-10,130000.0,134000.0,129500.0,132000.0,100869.3984375,1954465
2016-11-17,131500.0,136000.0,129500.0,135000.0,103161.8828125,1675546
2016-11-24,135500.0,136000.0,132000.0,132000.0,100869.3984375,2415719
2016-12-01,134000.0,142000.0,133000.0,142000.0,108511.0078125,2191324
2016-12-08,142000.0,148000.0,141000.0,142000.0,108511.0078125,1856549
2016-12-15,141000.0,144500.0,139000.0,142000.0,108511.0078125,1861672
2016-12-22,143000.0,146000.0,141500.0,146000.0,111567.65625,1659785
2016-12-29,146000.0,155000.0,145500.0,153500.0,119785.78125,2262530
2017-01-05,152000.0,153000.0,147500.0,148000.0,115493.7734375,2212410
2017-01-12,149000.0,155500.0,148500.0,152000.0,118615.25,1747485
2017-01-19,150500.0,153500.0,139500.0,142500.0,111201.796875,2634328
2017-01-26,142500.0,142500.0,135500.0,136000.0,106129.4375,1631493
2017-02-02,136500.0,141000.0,136000.0,140000.0,109250.8671875,2071407
2017-02-09,141000.0,151500.0,139000.0,150500.0,117444.671875,2619851
2017-02-16,149500.0,151500.0,145000.0,146000.0,113933.0390625,2263309
2017-02-23,147000.0,150500.0,146500.0,148500.0,115883.953125,1569224
